Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2011-03-18,20334.23,False
1,2,2011-03-18,45222.3,False
1,3,2011-03-18,8148.69,False
1,4,2011-03-18,34863.03,False
1,5,2011-03-18,22685.69,False
1,6,2011-03-18,2889.22,False
1,7,2011-03-18,22751.59,False
1,8,2011-03-18,33301.63,False
1,9,2011-03-18,33823.26,False
1,10,2011-03-18,33739.79,False
1,11,2011-03-18,21683.76,False
1,12,2011-03-18,15560.17,False
1,13,2011-03-18,36930.48,False
1,14,2011-03-18,14287.28,False
1,16,2011-03-18,42549.38,False
1,17,2011-03-18,10143.22,False
1,18,2011-03-18,296.03,False
1,19,2011-03-18,1493.99,False
1,20,2011-03-18,4034.08,False
1,21,2011-03-18,7263.97,False
1,22,2011-03-18,8456.15,False
1,23,2011-03-18,19134.28,False
1,24,2011-03-18,4117.8,False
1,25,2011-03-18,11290.68,False
1,26,2011-03-18,6892.71,False
1,27,2011-03-18,1340.76,False
1,28,2011-03-18,627.89,False
1,29,2011-03-18,4086.48,False
1,30,2011-03-18,4581.04,False
1,31,2011-03-18,1680.84,False
1,32,2011-03-18,6549.7,False
1,33,2011-03-18,5173.48,False
1,34,2011-03-18,11896.39,False
1,35,2011-03-18,2936.44,False
1,36,2011-03-18,1014.0,False
1,37,2011-03-18,2868.66,False
1,38,2011-03-18,69452.49,False
1,40,2011-03-18,59935.75,False
1,41,2011-03-18,814.0,False
1,42,2011-03-18,9272.97,False
1,44,2011-03-18,3327.64,False
1,45,2011-03-18,11.47,False
1,46,2011-03-18,20539.39,False
1,48,2011-03-18,780.0,False
1,49,2011-03-18,13603.82,False
1,52,2011-03-18,3008.45,False
1,54,2011-03-18,50.92,False
1,55,2011-03-18,14963.42,False
1,56,2011-03-18,12804.39,False
1,58,2011-03-18,2466.0,False
1,59,2011-03-18,267.5,False
1,60,2011-03-18,827.2,False
1,67,2011-03-18,5018.79,False
1,71,2011-03-18,2167.14,False
1,72,2011-03-18,43128.73,False
1,74,2011-03-18,11361.36,False
1,79,2011-03-18,32251.01,False
1,80,2011-03-18,17498.01,False
1,81,2011-03-18,31048.92,False
1,82,2011-03-18,21612.22,False
1,83,2011-03-18,9660.09,False
1,85,2011-03-18,3416.78,False
1,87,2011-03-18,48055.54,False
1,90,2011-03-18,80618.9,False
1,91,2011-03-18,69243.49,False
1,92,2011-03-18,134321.31,False
1,93,2011-03-18,74159.07,False
1,94,2011-03-18,69906.91,False
1,95,2011-03-18,123405.41,False
