Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2012-10-26,27390.81,False
1,2,2012-10-26,43134.88,False
1,3,2012-10-26,9350.9,False
1,4,2012-10-26,36292.6,False
1,5,2012-10-26,25846.94,False
1,6,2012-10-26,4032.5,False
1,7,2012-10-26,21449.85,False
1,8,2012-10-26,39255.35,False
1,9,2012-10-26,41040.84,False
1,10,2012-10-26,26285.27,False
1,11,2012-10-26,22399.83,False
1,12,2012-10-26,8658.41,False
1,13,2012-10-26,38512.48,False
1,14,2012-10-26,11150.0,False
1,16,2012-10-26,9934.63,False
1,17,2012-10-26,7640.92,False
1,18,2012-10-26,17934.28,False
1,19,2012-10-26,1640.81,False
1,20,2012-10-26,2680.53,False
1,21,2012-10-26,8194.63,False
1,22,2012-10-26,8236.88,False
1,23,2012-10-26,21460.58,False
1,24,2012-10-26,7106.74,False
1,25,2012-10-26,11066.13,False
1,26,2012-10-26,7412.16,False
1,27,2012-10-26,1712.02,False
1,28,2012-10-26,742.48,False
1,29,2012-10-26,4077.2,False
1,30,2012-10-26,2830.48,False
1,31,2012-10-26,1413.51,False
1,32,2012-10-26,5918.47,False
1,33,2012-10-26,6313.48,False
1,34,2012-10-26,9972.0,False
1,35,2012-10-26,1459.47,False
1,36,2012-10-26,1156.34,False
1,37,2012-10-26,2566.42,False
1,38,2012-10-26,66526.76,False
1,40,2012-10-26,59287.86,False
1,41,2012-10-26,1784.96,False
1,42,2012-10-26,6786.97,False
1,44,2012-10-26,6593.58,False
1,45,2012-10-26,20.94,False
1,46,2012-10-26,17950.88,False
1,48,2012-10-26,3341.0,False
1,49,2012-10-26,8775.52,False
1,52,2012-10-26,2530.51,False
1,54,2012-10-26,4.88,False
1,55,2012-10-26,10200.84,False
1,56,2012-10-26,882.69,False
1,58,2012-10-26,5295.0,False
1,59,2012-10-26,208.89,False
1,60,2012-10-26,918.0,False
1,67,2012-10-26,7319.25,False
1,71,2012-10-26,1370.83,False
1,72,2012-10-26,35282.73,False
1,74,2012-10-26,7986.96,False
1,79,2012-10-26,29294.29,False
1,80,2012-10-26,17918.31,False
1,81,2012-10-26,29107.55,False
1,82,2012-10-26,19702.26,False
1,83,2012-10-26,4912.05,False
1,85,2012-10-26,3818.23,False
1,87,2012-10-26,51212.09,False
1,90,2012-10-26,84064.59,False
1,91,2012-10-26,55472.46,False
1,92,2012-10-26,132155.74,False
1,93,2012-10-26,66622.89,False
1,94,2012-10-26,60278.73,False
1,95,2012-10-26,117375.38,False
1,96,2012-10-26,36851.92,False
1,97,2012-10-26,32830.52,False
1,98,2012-10-26,12702.86,False
2,1,2012-10-26,41615.24,False
2,2,2012-10-26,62475.44,False
2,3,2012-10-26,10731.67,False
2,4,2012-10-26,46098.84,False
2,5,2012-10-26,30891.9,False
2,6,2012-10-26,5253.54,False
2,7,2012-10-26,37302.54,False
2,8,2012-10-26,63992.36,False
2,9,2012-10-26,34790.0,False
2,10,2012-10-26,34260.76,False
2,11,2012-10-26,21167.76,False
2,12,2012-10-26,8060.19,False
2,13,2012-10-26,47892.06,False
2,14,2012-10-26,18348.17,False
2,16,2012-10-26,7487.94,False
2,17,2012-10-26,12016.19,False
2,18,2012-10-26,26085.43,False
2,19,2012-10-26,4315.0,False
2,20,2012-10-26,3690.65,False
2,21,2012-10-26,7985.45,False
2,22,2012-10-26,13208.75,False
2,23,2012-10-26,26574.0,False
2,24,2012-10-26,7820.52,False
2,25,2012-10-26,12962.63,False
2,26,2012-10-26,9258.88,False
2,27,2012-10-26,2105.89,False
2,28,2012-10-26,1025.47,False
2,29,2012-10-26,5563.13,False
2,30,2012-10-26,3869.88,False
2,31,2012-10-26,3263.14,False
2,32,2012-10-26,7406.89,False
2,33,2012-10-26,6969.78,False
2,34,2012-10-26,16047.51,False
2,35,2012-10-26,2671.37,False
2,36,2012-10-26,1033.32,False
2,37,2012-10-26,3999.22,False
2,38,2012-10-26,70757.72,False
2,40,2012-10-26,77608.73,False
2,41,2012-10-26,1934.51,False
2,42,2012-10-26,8658.25,False
2,44,2012-10-26,11080.74,False
2,46,2012-10-26,26984.28,False
2,48,2012-10-26,1420.0,False
2,49,2012-10-26,12565.94,False
2,52,2012-10-26,3589.04,False
2,54,2012-10-26,23.92,False
2,55,2012-10-26,11189.37,False
2,56,2012-10-26,707.65,False
2,58,2012-10-26,25000.0,False
2,59,2012-10-26,287.25,False
2,60,2012-10-26,261.0,False
2,67,2012-10-26,10224.32,False
2,71,2012-10-26,3588.43,False
2,72,2012-10-26,48941.21,False
2,74,2012-10-26,14547.62,False
2,79,2012-10-26,28451.69,False
2,80,2012-10-26,25410.09,False
2,81,2012-10-26,29040.96,False
2,82,2012-10-26,24997.37,False
2,83,2012-10-26,4489.72,False
2,85,2012-10-26,3298.84,False
2,87,2012-10-26,21623.54,False
2,90,2012-10-26,100544.64,False
2,91,2012-10-26,75329.8,False
2,92,2012-10-26,169784.13,False
2,93,2012-10-26,71383.59,False
2,94,2012-10-26,71138.52,False
2,95,2012-10-26,138018.99,False
2,96,2012-10-26,38391.46,False
2,97,2012-10-26,40710.09,False
2,98,2012-10-26,14233.43,False
3,1,2012-10-26,11351.24,False
3,2,2012-10-26,18894.7,False
3,3,2012-10-26,4730.72,False
3,4,2012-10-26,8459.82,False
3,5,2012-10-26,15307.6,False
3,6,2012-10-26,1435.94,False
3,7,2012-10-26,7749.8,False
3,8,2012-10-26,8495.07,False
3,9,2012-10-26,9582.02,False
3,10,2012-10-26,14112.99,False
3,11,2012-10-26,9291.66,False
3,12,2012-10-26,2648.01,False
3,13,2012-10-26,11696.34,False
3,14,2012-10-26,4716.3,False
3,16,2012-10-26,3285.67,False
3,17,2012-10-26,2634.51,False
3,18,2012-10-26,5104.31,False
3,19,2012-10-26,738.87,False
3,20,2012-10-26,1601.47,False
3,21,2012-10-26,1223.23,False
3,22,2012-10-26,4748.81,False
3,23,2012-10-26,17384.54,False
